Departamento,Total,PromedioporDepartamento
Amazonas,2757,0.3
Antioquia,139833,14.8
Arauca,2496,0.3
San Andres,1715,0.2
Atlantico,30068,3.2
Barranquilla D.E.,39374,4.2
Bogotá DC,294032,31.1
Bolivar,6338,0.7
Boyacá,10552,1.1
Buenaventura D.E.,2609,0.3
Córdoba,25364,2.7
Caldas,8753,0.9
Caquetá,10044,1.1
Cartagena D.T. y C.,24784,2.6
Casanare,3677,0.4
Cauca,11589,1.2
Cesar,23272,2.5
Chocó,4089,0.4
Cundinamarca,37954,4
Guainía,1048,0.1
Guaviare,1191,0.1
Huila,16776,1.8
La Guajira,9147,1
Magdalena,5580,0.6
Meta,19551,2.1
Nariño,20086,2.1
Norte de Santander,18502,2
Putumayo,4091,0.4
Quindío,6414,0.7
Risaralda,14320,1.5
Santa Marta D.T. y C.,10753,1.1
Santander,36902,3.9
Sucre,14952,1.6
Tolima,15247,1.6
Valle del Cauca,69791,7.4
Vaupés,975,0.1
Vichada,728,0.1